Ticker,Date,Total_Revenue,Gross_Profit,Operating_Income,Net_Income,EBIT,EBITDA,Operating_Expense,Interest_Expense,Tax_Provision,Diluted_EPS,Total_Assets,Total_Liabilities,Total_Equity,Current_Assets,Current_Liabilities,Cash_And_Equivalents,Total_Debt,Retained_Earnings,Working_Capital,Inventories,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,Dividend_Paid,Repurchase_Of_Stock,Change_In_Cash
MMM,2025-12-31,6133000000.0,2058000000.0,794000000.0,577000000.0,980000000.0,1410000000.0,1264000000.0,222000000.0,185000000.0,1.07,37733000000.0,32986000000.0,4747000000.0,16387000000.0,9595000000.0,5235000000.0,12602000000.0,38258000000.0,6792000000.0,3661000000.0,1583000000.0,-405000000.0,-617000000.0,1335000000.0,-248000000.0,-387000000.0,-552000000.0,561000000.0
MMM,2025-09-30,6517000000.0,2725000000.0,1608000000.0,834000000.0,1379000000.0,1677000000.0,1117000000.0,232000000.0,308000000.0,1.55,37611000000.0,32936000000.0,4675000000.0,16089000000.0,8733000000.0,4671000000.0,13156000000.0,38103000000.0,7356000000.0,3893000000.0,1756000000.0,465000000.0,-1208000000.0,1538000000.0,-218000000.0,-389000000.0,-472000000.0,1013000000.0
MMM,2025-06-30,6344000000.0,2698000000.0,1143000000.0,723000000.0,1160000000.0,1450000000.0,1555000000.0,237000000.0,245000000.0,1.34,37989000000.0,33638000000.0,4351000000.0,13427000000.0,7808000000.0,3712000000.0,13726000000.0,37693000000.0,5619000000.0,4077000000.0,-954000000.0,70000000.0,-1769000000.0,-1162000000.0,-208000000.0,-390000000.0,-953000000.0,-2653000000.0
MMM,2025-03-31,5954000000.0,2476000000.0,1246000000.0,1116000000.0,1640000000.0,1930000000.0,1230000000.0,255000000.0,265000000.0,2.04,39951000000.0,35428000000.0,4523000000.0,15657000000.0,9451000000.0,6326000000.0,14067000000.0,37432000000.0,6206000000.0,3869000000.0,-79000000.0,1220000000.0,-422000000.0,-315000000.0,-236000000.0,-396000000.0,-1274000000.0,719000000.0
MMM,2024-12-31,6010000000.0,2266000000.0,1085000000.0,728000000.0,1011000000.0,1333000000.0,1181000000.0,252000000.0,33000000.0,1.33,39868000000.0,35974000000.0,3894000000.0,15884000000.0,11256000000.0,5600000000.0,13044000000.0,36797000000.0,4628000000.0,3698000000.0,1818000000.0,-1146000000.0,-1080000000.0,1527000000.0,-291000000.0,-378000000.0,-705000000.0,-408000000.0
MMM,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMM,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS,2025-12-31,912500000.0,350400000.0,163800000.0,125400000.0,163000000.0,185300000.0,186600000.0,2400000.0,35200000.0,0.896143,3142800000.0,1284800000.0,1858000000.0,1291500000.0,862500000.0,174500000.0,192100000.0,3951800000.0,429000000.0,479300000.0,183100000.0,-16300000.0,-146500000.0,165500000.0,-17600000.0,-50600000.0,-65400000.0,20300000.0
AOS,2025-09-30,942500000.0,364500000.0,175600000.0,132000000.0,175400000.0,197000000.0,188900000.0,3600000.0,39800000.0,0.94,3170700000.0,1326200000.0,1844500000.0,1316100000.0,852500000.0,152700000.0,221400000.0,3876700000.0,463600000.0,507300000.0,255400000.0,-34900000.0,-245500000.0,240600000.0,-14800000.0,-47600000.0,-84100000.0,-25000000.0
AOS,2025-06-30,1011300000.0,397100000.0,205800000.0,152200000.0,206200000.0,226700000.0,191300000.0,4600000.0,49400000.0,1.07,3246700000.0,1400800000.0,1845900000.0,1388500000.0,843000000.0,177900000.0,331600000.0,3792500000.0,545500000.0,519300000.0,139600000.0,9000000.0,-146000000.0,122500000.0,-17100000.0,-48300000.0,-130700000.0,2600000.0
AOS,2025-03-31,963900000.0,375400000.0,182800000.0,136600000.0,184000000.0,204700000.0,192600000.0,2900000.0,44500000.0,0.95,3267700000.0,1412600000.0,1855100000.0,1422100000.0,882100000.0,173000000.0,295000000.0,3688800000.0,540000000.0,532600000.0,38700000.0,-10800000.0,-95100000.0,17400000.0,-21300000.0,-49200000.0,-120600000.0,-67200000.0
