Ticker,Company_Name,Sector,Sub_Industry,Headquarters,Date_Added,Founded,Collection_Date
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,1902,2026-02-08
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,1916,2026-02-08
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1888,2026-02-08
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,2013 (1888),2026-02-08
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989,2026-02-08
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,1982,2026-02-08
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,1969,2026-02-08
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,1981,2026-02-08
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955,2026-02-08
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1999,2026-02-08
